puma,year,mergeid,estimate_black_females,estimate_total_pop,percent_black_only,percent_black_women,quantile_black_women,gini_index,percent_second_mortgage,percent_owner_occupied,percent_renter_occupied,percent_vacant_housing,homeowner_vacancy_rate,rental_vacancy_rate,percent_same_house_1_year,percent_no_plumbing,percent_no_kitchen,percent_overcrowding,avg_household_size,percent_owner_cost_burdent,rent_median_dollars,percent_renter_cost_burden,median_value_home,median_income,percent_below_poverty,percent_units_mortgage,percent_hispanic,percent_white_only,percent_american_indian,percent_asian,percent_hawaiian,percent_other_race,percent_twomore_races,disability_status,total_housing_units,num_renter_occupied,num_owner_occupied,num_total_occupied,percent_born_us,english_prof,percent_college,percent_uninsured,percent_unemployed
3604111,2011,3604111 _ 2011,7024,144721,9.3,4.85347668963039,2,0.4128,19.5,45.8,54.2,8.0,3.0,4.2,88.6,1.9,2.4,2.1,3.23,53.4,1254,46.6,454700,55867,11.9,70.9,41.5,36.1,0.4,23.4,0.0,26.5,4.3,9.516000000000004,48358,24107,20362,44469,46.0,25.7,25.0,16.316999999999965,7.2
3604112,2011,3604112 _ 2011,81678,219618,67.1,37.1909406332814,5,0.4291,21.8,49.4,50.6,8.4,3.6,3.7,89.8,3.1,5.6,2.8,3.13,53.5,1081,48.4,410400,52576,12.6,73.9,16.8,4.8,0.6,10.4,0.1,13.9,3.1,11.15466666666666,75727,35070,34276,69346,58.3,13.8,19.0,15.264666666666653,8.7
3604113,2011,3604113 _ 2011,12364,129014,17.6,9.583456059032349,3,0.4204,21.6,65.7,34.3,6.0,0.9,3.3,90.7,1.3,1.4,1.1,3.22,55.6,1268,47.9,468700,61283,9.6,67.3,24.1,36.3,0.7,18.9,0.2,21.3,4.9,9.435666666666668,42587,13752,26297,40049,51.2,13.2,18.2,14.051666666666673,5.6
3604114,2011,3604114 _ 2011,27613,113026,43.5,24.430661971581802,4,0.4941,21.5,38.9,61.1,13.0,2.7,5.3,88.5,0.9,0.8,2.1,2.73,43.8,935,41.5,487300,47736,17.3,62.2,21.7,47.5,0.1,1.7,0.0,5.2,1.9,14.786333333333314,45372,24124,15330,39454,71.2,14.9,26.0,10.992000000000012,5.8
3603701,2012,3603701 _ 2012,9105,106402,15.2,8.557169978007929,3,0.4929,13.2,30.9,69.1,9.1,4.0,3.6,88.9,0.7,0.8,2.6,2.46,20.3,1156,40.3,329700,54898,14.3,55.0,44.6,46.3,0.3,5.1,0.0,29.1,3.9,11.5,45077,28319,12678,40997,62.7,20.3,38.4,12.6,6.5
3603702,2012,3603702 _ 2012,56950,143996,70.9,39.5497097141587,5,0.4323,15.0,37.4,62.6,7.9,2.2,5.8,90.4,0.8,1.1,2.3,3.03,60.8,1115,48.7,404600,46247,16.8,72.4,20.6,11.4,0.4,2.1,0.0,13.1,2.1,11.0,51073,29439,17622,47061,56.2,8.0,21.6,15.0,9.4
3603703,2012,3603703 _ 2012,19616,116642,29.6,16.8172699370724,4,0.4412,14.4,47.5,52.5,6.1,1.2,1.7,91.2,0.7,1.0,0.8,2.46,39.8,1038,40.0,348000,53032,10.6,49.8,33.4,46.3,0.4,2.2,0.0,18.5,3.1,13.6,49173,24222,21959,46181,74.2,11.0,24.3,9.2,6.3
3603704,2012,3603704 _ 2012,15067,127421,22.5,11.824581505403302,3,0.4516,18.9,30.2,69.8,6.4,1.3,2.9,88.6,0.4,0.7,3.6,2.8,48.2,1091,45.5,446000,45502,16.5,66.8,42.3,35.5,0.3,9.3,0.0,29.0,3.4,13.2,47252,30876,13331,44207,58.2,21.6,23.7,15.3,7.3
3603705,2012,3603705 _ 2012,30881,157860,35.4,19.5622703661472,4,0.4881,12.2,7.6,92.4,8.4,7.4,4.6,87.9,0.9,1.2,4.0,2.9,59.5,861,53.3,372100,21591,40.7,68.0,63.3,15.1,0.5,0.9,0.0,44.6,3.4,15.4,57049,48279,3968,52247,59.8,28.6,10.1,15.9,9.6
3603706,2012,3603706 _ 2012,15613,124407,22.2,12.5499369006567,3,0.4755,8.6,7.8,92.2,7.3,6.8,2.7,86.9,0.8,1.3,5.4,2.84,36.5,1077,55.8,248000,30777,30.0,72.0,64.3,17.0,0.5,6.5,0.0,50.1,3.7,12.7,46410,39680,3364,43044,51.5,31.6,16.3,19.7,9.0
3603707,2012,3603707 _ 2012,23817,132517,34.0,17.9727883969604,4,0.4716,24.9,3.8,96.2,8.4,11.2,3.6,84.8,1.2,1.4,6.4,3.05,67.4,992,54.4,416500,25833,37.1,58.8,67.8,12.7,0.6,1.3,0.1,47.6,3.7,14.9,46405,40897,1600,42497,51.8,34.2,11.4,19.5,12.3
3603708,2012,3603708 _ 2012,28712,140252,38.6,20.471722328380302,4,0.4574,20.4,7.0,93.0,6.4,6.2,3.2,88.5,0.8,0.9,6.7,2.94,44.0,979,51.0,234800,27413,34.4,43.0,62.4,14.9,0.8,1.2,0.0,42.2,2.3,14.2,50047,43552,3297,46849,52.4,35.1,12.0,17.2,9.3
