zip,month,year,price_index
10007,Feb,2020,$2.66M
10007,Jan,2020,$2.66M
10007,Dec,2019,$2.66M
10007,Nov,2019,$2.68M
10007,Oct,2019,$2.69M
10007,Sep,2019,$2.71M
10007,Aug,2019,$2.71M
10007,Jul,2019,$2.71M
10007,Jun,2019,$2.71M
10007,May,2019,$2.72M
10007,Apr,2019,$2.74M
10007,Mar,2019,$2.75M
10007,Feb,2019,$2.76M
10007,Jan,2019,$2.77M
10007,Dec,2018,$2.78M
10007,Nov,2018,$2.79M
10007,Oct,2018,$2.80M
10007,Sep,2018,$2.81M
10007,Aug,2018,$2.81M
10007,Jul,2018,$2.82M
10007,Jun,2018,$2.82M
10007,May,2018,$2.82M
10007,Apr,2018,$2.83M
10007,Mar,2018,$2.83M
10007,Feb,2018,$2.83M
10007,Jan,2018,$2.82M
10007,Dec,2017,$2.83M
10007,Nov,2017,$2.84M
10007,Oct,2017,$2.84M
10007,Sep,2017,$2.85M
10007,Aug,2017,$2.85M
10007,Jul,2017,$2.86M
10007,Jun,2017,$2.86M
10007,May,2017,$2.86M
10007,Apr,2017,$2.86M
10007,Mar,2017,$2.88M
10007,Feb,2017,$2.90M
10007,Jan,2017,$2.91M
10007,Dec,2016,$2.91M
10007,Nov,2016,$2.92M
10007,Oct,2016,$2.93M
10007,Sep,2016,$2.93M
10007,Aug,2016,$2.93M
10007,Jul,2016,$2.93M
10007,Jun,2016,$2.94M
10007,May,2016,$2.95M
10007,Apr,2016,$2.96M
10007,Mar,2016,$2.96M
10007,Feb,2016,$2.97M
10007,Jan,2016,$2.98M
10007,Dec,2015,$2.99M
10007,Nov,2015,$2.98M
10007,Oct,2015,$2.96M
10007,Sep,2015,$2.95M
10007,Aug,2015,$2.94M
10007,Jul,2015,$2.94M
10007,Jun,2015,$2.94M
10007,May,2015,$2.93M
10007,Apr,2015,$2.93M
10007,Mar,2015,$2.92M
10007,Feb,2015,$2.90M
10007,Jan,2015,$2.87M
10007,Dec,2014,$2.84M
10007,Nov,2014,$2.81M
10007,Oct,2014,$2.77M
10007,Sep,2014,$2.73M
10007,Aug,2014,$2.71M
10007,Jul,2014,$2.69M
10007,Jun,2014,$2.65M
10007,May,2014,$2.60M
10007,Apr,2014,$2.54M
10007,Mar,2014,$2.49M
10007,Feb,2014,$2.44M
10007,Jan,2014,$2.41M
10007,Dec,2013,$2.38M
10007,Nov,2013,$2.37M
10007,Oct,2013,$2.37M
10007,Sep,2013,$2.37M
10007,Aug,2013,$2.35M
10007,Jul,2013,$2.31M
10007,Jun,2013,$2.28M
10007,May,2013,$2.27M
10007,Apr,2013,$2.27M
10007,Mar,2013,$2.26M
10007,Feb,2013,$2.24M
10007,Jan,2013,$2.21M
10007,Dec,2012,$2.19M
10007,Nov,2012,$2.16M
10007,Oct,2012,$2.15M
10007,Aug,2012,$2.09M
10007,Jul,2012,$2.07M
10007,Jun,2012,$2.06M
10007,May,2012,$2.05M
10007,Apr,2012,$2.04M
10007,Mar,2012,$2.03M
10007,Feb,2012,$2.04M
10007,Jan,2012,$2.05M
10007,Dec,2011,$2.05M
10007,Nov,2011,$2.05M
10007,Oct,2011,$2.02M
10007,Sep,2011,$2.02M
10007,Aug,2011,$2.01M
10007,Jul,2011,$2.01M
10007,Jun,2011,$2.00M
10007,May,2011,$1.99M
10007,Apr,2011,$1.97M
10007,Mar,2011,$1.95M
10007,Sep,2012,$2.11M
10009,Jan,2022,$923K
10009,Dec,2021,$914K
10009,Nov,2021,$909K
10009,Oct,2021,$908K
10009,Sep,2021,$909K
10009,Aug,2021,$908K
10009,Jul,2021,$905K
10009,Jun,2021,$902K
10009,Mar,2021,$896K
10009,Jan,2021,$916K
10009,Dec,2020,$938K
10009,Nov,2020,$955K
10009,Aug,2020,$955K
10009,Jun,2020,$970K
10009,Apr,2020,$1.02M
10009,Feb,2020,$1.05M
10009,Nov,2019,$1.02M
10009,Oct,2019,$1.03M
10009,Sep,2019,$1.04M
10009,Aug,2019,$1.05M
10009,Jun,2019,$1.04M
10009,Mar,2019,$936K
10009,Feb,2019,$921K
10009,Jan,2019,$922K
10009,Nov,2018,$937K
10009,Sep,2018,$930K
10009,Aug,2018,$930K
10009,Jul,2018,$934K
10009,Jun,2018,$929K
10009,May,2018,$920K
10009,Apr,2018,$918K
10009,Mar,2018,$929K
10009,Feb,2018,$937K
10009,Jan,2018,$934K
10009,Dec,2017,$922K
10009,Nov,2017,$917K
10009,Oct,2017,$922K
10009,Aug,2017,$938K
10009,Jun,2017,$942K
10009,Mar,2017,$958K
10009,Feb,2017,$953K
10009,Nov,2016,$945K
10009,Oct,2016,$944K
10009,Jun,2016,$947K
10009,May,2016,$949K
10009,Jan,2016,$959K
10009,Oct,2015,$949K
10009,Aug,2015,$936K
10009,Jul,2015,$926K
10009,Mar,2015,$900K
10009,Nov,2014,$865K
10009,Jul,2014,$857K
10009,Feb,2014,$821K
10009,Dec,2013,$809K
10009,Aug,2013,$779K
10009,Jun,2013,$758K
10009,Feb,2013,$736K
10009,Oct,2012,$726K
10009,Sep,2012,$723K
10009,Jun,2012,$725K
10009,Jan,2012,$727K
10009,Oct,2011,$711K
10009,Jun,2011,$700K
10009,Mar,2011,$694K
10009,Jul,2011,$700K
10009,Jan,2014,$816K
10009,Apr,2015,$907K
10009,Apr,2016,$947K
10009,Jan,2017,$947K
10009,Apr,2017,$957K
10009,Dec,2018,$933K
10009,Sep,2020,$960K
10009,May,2021,$899K
10009,Dec,2019,$1.03M
